Time,R1,R2,R3,R4,Average,SD
0.5,319.675,326.057,331.311,330.435,326.8695,5.318543002
1,386.822,399.065,387.277,381.544,388.677,7.398001036
1.5,407.751,417.412,412.064,402.068,409.82375,6.507641886
2,426.215,434.322,431.306,416.827,427.1675,7.662620287
2.5,434.628,436.908,439.088,424.814,433.8595,6.299265222
3,436.946,440.192,442.94,431.773,437.96275,4.79893595
3.5,439.628,445.131,447.26,435.877,441.974,5.182842528
4,439.371,450.138,447.314,435.701,443.131,6.731469329
4.5,438.78,451.829,447.259,435.379,443.31175,7.56283921
5,438.498,455.628,447.153,437.43,444.67725,8.500078956
5.5,438.849,456.444,460.393,443.621,449.82675,10.23809821
6,438.392,457.926,462.527,446.602,451.36175,10.93346271
6.5,439.905,458.014,463.952,448.72,452.64775,10.55758187
7,441.405,458.429,464.164,451.336,453.8335,9.807190712
7.5,448.417,458.321,465.05,453.484,456.318,7.087951984
8,451.511,459.411,465.448,455.299,457.91725,5.967656066
8.5,458.385,459.015,465.501,456.465,459.8415,3.925777503
9,460.7,458.417,465.147,456.945,460.30225,3.580274792
9.5,461.501,459.576,465.422,457.521,461.005,3.363341691
10,461.467,458.826,465.335,457.722,460.8375,3.385077498
10.5,460.84,458.536,465.357,457.476,460.55225,3.497475316
11,460.494,459.744,464.981,457.824,460.76075,3.029848552
11.5,461.183,460.136,464.686,457.753,460.9395,2.880679839
12,462.103,459.982,464.075,458.436,461.149,2.462644243
12.5,462.995,459.653,463.741,458.096,461.12125,2.688365349
13,462.977,459.049,463.345,458.106,460.86925,2.67835825
13.5,462.8,459.718,463.22,458.639,461.09425,2.262057526
14,462.668,460.077,463.818,458.872,461.35875,2.279536119
14.5,462.252,459.628,465.031,458.653,461.391,2.86331591
15,462.009,459.194,464.551,458.301,461.01375,2.838612499
15.5,461.991,459.848,464.142,457.957,460.9845,2.673339796
16,462.058,460.316,464.215,457.79,461.09475,2.719781532
16.5,462.279,460.145,464.454,457.864,461.1855,2.828063943
17,462.947,459.491,464.913,457.613,461.241,3.297418384
17.5,462.868,458.774,464.892,457.637,461.04275,3.410504496
18,462.724,458.544,464.614,457.542,460.856,3.363526324
18.5,462.824,458.373,464.632,457.956,460.94625,3.300197406
19,462.49,457.982,464.922,458.87,461.066,3.226452334
19.5,463.438,458.274,464.767,458.815,461.3235,3.261943439
20,463.804,458.755,464.559,458.829,461.48675,3.127003931
20.5,464.057,459.603,464.475,458.806,461.73525,2.94526449
21,463.914,459.671,464.402,459.882,461.96725,2.538954821
21.5,463.937,459.538,464.515,460.68,462.1675,2.433708624
22,464.022,459.578,464.972,461.261,462.45825,2.482841165
22.5,464.421,459.638,464.968,461.563,462.6475,2.500883377
23,464.452,462.095,465.165,462.071,463.44575,1.600294009
23.5,464.707,462.465,464.967,463.116,463.81375,1.215711417
24,465.274,462.539,464.634,463.442,463.97225,1.220360159
24.5,465.315,462.837,464.512,463.424,464.022,1.106613151
25,465.661,462.95,464.509,463.685,464.20125,1.16300197
25.5,465.494,463.336,464.756,464.023,464.40225,0.930551226
26,465.553,463.311,465.104,464.174,464.5355,0.998095019
26.5,465.796,463.143,465.627,464.375,464.73525,1.236318291
27,465.877,462.979,465.958,465.995,465.20225,1.482985587
27.5,465.86,462.847,465.941,465.947,465.14875,1.535012785
28,465.736,462.813,465.9,465.624,465.01825,1.474529162
28.5,465.584,462.859,466.64,465.414,465.12425,1.604595562
29,465.608,462.84,466.819,465.3,465.14175,1.668697371
29.5,465.388,463.091,467.112,465.495,465.2715,1.653838465
30,465.346,462.918,466.982,465.429,465.16875,1.678580626
30.5,465.216,462.737,467.057,465.216,465.0565,1.773223148
31,465.141,463.445,467.143,464.956,465.17125,1.518220971
31.5,465.325,465.645,467.093,464.749,465.703,0.998075481
32,465.726,466.781,467.119,464.647,466.06825,1.117910961
32.5,465.566,467.244,466.97,464.465,466.06125,1.293317536
33,465.295,467.451,466.973,464.321,466.01,1.45691409
33.5,465.461,467.509,466.895,464.348,466.05325,1.424358189
34,465.742,467.549,466.834,464.378,466.12575,1.381925318
34.5,466.117,468.54,466.741,464.107,466.37625,1.82862086
35,466.323,468.964,466.854,463.908,466.51225,2.077322375
35.5,466.453,469.368,466.769,464.26,466.7125,2.092603562
36,466.416,469.73,466.834,464.409,466.84725,2.194042141
36.5,466.593,469.699,466.999,464.543,466.9585,2.119765003
37,466.607,469.957,466.966,464.957,467.12175,2.082787455
37.5,466.802,469.944,466.919,465.253,467.2295,1.96250087
38,466.691,470.277,466.873,465.84,467.42025,1.956995891
38.5,466.854,470.344,467.002,466.863,467.76575,1.720167894
39,466.955,470.336,466.79,467.205,467.8215,1.684992285
39.5,467.05,470.328,466.691,467.541,467.9025,1.654108118
40,466.978,470.416,466.607,467.621,467.9055,1.725293115
40.5,466.933,470.284,466.599,467.742,467.8895,1.666900217
41,466.903,470.496,466.433,468.024,467.964,1.815149764
41.5,466.781,470.496,466.393,468.481,468.03775,1.872973282
42,466.73,470.545,466.143,468.661,468.01975,1.99781003
42.5,466.873,470.564,465.91,468.685,468.008,2.055990759
43,466.781,470.42,465.909,468.773,467.97075,2.025565662
43.5,466.857,470.273,465.775,468.943,467.962,2.025428021
44,466.797,470.494,466.36,469.539,468.2975,2.030709318
44.5,466.775,470.582,466.305,470.072,468.4335,2.204682063
45,466.75,470.691,466.515,470.264,468.555,2.228811492
45.5,467.279,470.845,466.344,470.606,468.7685,2.293837323
46,467.63,470.974,466.472,470.959,469.00875,2.309526268
46.5,467.595,471.157,466.443,471.052,469.06175,2.405575104
47,467.574,471.217,466.61,471.309,469.1775,2.440363429
47.5,467.78,471.268,466.736,471.541,469.33125,2.434179858
48,467.815,471.103,467.111,471.665,469.4235,2.293466881
48.5,468.283,471.133,467.639,471.836,469.72275,2.071193275
49,468.209,471.299,467.722,471.998,469.807,2.154636396
49.5,468.129,471.274,467.829,472.253,469.87125,2.224609385
50,468.082,471.174,468.154,472.505,469.97875,2.216448717
50.5,468.029,471.008,468.268,472.829,470.0335,2.302135313
51,468.284,470.977,468.363,472.867,470.12275,2.216481653
51.5,468.749,470.931,468.376,472.912,470.242,2.106705643
52,468.806,470.881,468.333,472.733,470.18825,2.025522381
52.5,468.849,470.736,468.083,472.779,470.11175,2.098751593
53,468.916,470.68,467.882,472.853,470.08275,2.178347902
53.5,468.945,470.832,468.009,472.727,470.12825,2.092850269
54,468.778,470.82,468.025,472.612,470.05875,2.071637577
54.5,468.733,470.828,468.248,472.563,470.093,1.99120985
55,468.681,470.925,468.111,472.341,470.0145,1.970037817
55.5,468.593,470.892,468.125,472.243,469.96325,1.942213921
56,468.506,471.007,468.029,472.113,469.91375,1.963495077
56.5,468.389,470.895,468.132,472.076,469.873,1.926225151
57,468.282,470.726,468.044,472.266,469.8295,2.026738842
