Time,R1,R2,R3,R4,Ave,SD
0.5,413.02,460.491,455.123,425.888,438.6305,22.86301987
1,502.264,536.968,528.349,527.077,523.6645,14.9282083
1.5,524.904,558.627,572.366,594.289,562.5465,29.07650353
2,538.499,565.78,620.209,650.128,593.654,50.7067208
2.5,546.336,613.982,634.472,666.79,615.395,50.91339052
3,595.71,628.36,639.469,683.433,636.743,36.24623637
3.5,603.857,649.654,646.451,687.367,646.83225,34.14696519
4,631.213,676.24,681.638,706.813,673.976,31.46836866
4.5,666.974,689.474,702.236,710.693,692.34425,19.02989985
5,678.917,692.612,710.055,712.213,698.44925,15.70261682
5.5,683.583,697.824,714.727,711.177,701.82775,14.17392021
6,688.126,710.545,713.888,711.252,705.95275,11.97124358
6.5,690.896,713.498,714.946,709.916,707.314,11.14765159
7,694.35,711.541,715.103,708.601,707.39875,9.096317657
7.5,696.921,711.417,722.755,711.88,710.74325,10.60004517
8,698.791,710.308,726.507,709.46,711.2665,11.43230955
8.5,699.376,709.993,729.807,708.533,711.92725,12.81251462
9,700.016,716.357,728.817,706.55,712.935,12.53816566
9.5,699.844,723.16,729.332,704.712,714.262,14.20516958
10,698.803,727.16,730.931,704.509,715.35075,16.05795907
10.5,698.163,727.117,730.587,704.218,715.02125,16.22252081
11,697.379,727.44,730.606,711.439,716.716,15.38075176
11.5,697.131,727.715,731.712,716.476,718.2585,15.49161727
12,700.093,725.578,734.18,723.887,720.9345,14.60697027
12.5,704.424,725.918,735.246,726.693,723.07025,13.12968043
13,703.485,726.819,735.218,728.06,723.3955,13.78014791
13.5,702.991,726.894,735.504,729.874,723.81575,14.33484585
14,702.168,727.138,735.291,730.566,723.79075,14.79760299
14.5,701.512,729.807,735.599,730.551,724.36725,15.45255432
15,700.191,730.617,734.905,729.811,723.881,15.95079175
15.5,699.089,730.629,735.988,729.587,723.82325,16.72625992
16,698.195,729.755,737.273,730.474,723.92425,17.48409089
16.5,699.611,729.569,740.016,730.235,724.85775,17.4955387
17,698.699,729.049,741.012,729.669,724.60725,18.12644198
17.5,697.734,727.906,741.208,730.072,724.23,18.60046989
18,702.387,727.164,740.727,729.485,724.94075,16.16034629
18.5,703.504,726.058,740.015,728.776,724.58825,15.29953843
19,702.995,725.656,739.357,728.025,724.00825,15.23143857
19.5,701.91,725.505,739.043,727.428,723.4715,15.56876048
20,701.859,726.115,739.945,726.699,723.6545,15.87185403
20.5,701.994,726.617,742.526,726.931,724.517,16.75158705
21,702.198,727.056,742.726,728.104,725.021,16.81271808
21.5,702.647,726.332,742.881,731.144,725.751,16.89826151
22,702.567,727.575,742.566,733.146,726.4635,17.09019658
22.5,701.472,727.698,742.286,734.345,726.45025,17.687735
23,701.956,727.019,742.052,733.909,726.234,17.31234875
23.5,703.533,727.524,742.095,733.474,726.6565,16.53556165
24,709.779,730.375,742.037,732.882,728.76825,13.61562738
24.5,711.834,730.859,742.303,732.008,729.251,12.70030585
25,711.541,731.22,742.167,731.839,729.19175,12.79358978
25.5,711.478,733.537,742.01,730.72,729.43625,12.89783052
26,711.326,734.669,741.688,730.256,729.48475,12.98885146
26.5,712.57,734.605,741.844,729.858,729.71925,12.44984796
27,712.15,734.564,741.621,729.77,729.52625,12.56523485
27.5,712.519,733.842,741.787,729.744,729.473,12.35899556
28,712.761,732.958,742,729.516,729.30875,12.22369059
28.5,712.29,732.532,742.589,729.478,729.22225,12.60146749
29,711.815,731.829,743.793,729.268,729.17625,13.19226898
29.5,711.21,731.667,744.297,728.873,729.01175,13.6334243
30,710.768,732.471,745.299,729.434,729.493,14.25163413
30.5,710.436,732.707,746.25,729.572,729.74125,14.76545318
31,710.79,732.986,746.779,729.794,730.08725,14.82663282
31.5,710.774,733.104,746.393,729.294,729.89125,14.70210269
32,710.596,733.217,746.17,728.774,729.68925,14.71337281
32.5,710.62,733.288,746.772,728.15,729.7075,14.95298859
33,710.332,733.177,746.964,728.081,729.6385,15.14222222
33.5,711.627,733.371,746.545,727.644,729.79675,14.46897012
34,714.381,733.25,746.315,727.13,730.269,13.27456643
34.5,715.654,732.863,746.162,726.917,730.399,12.70279253
35,716.185,733.187,745.846,726.589,730.45175,12.4220975
35.5,716.707,735.532,745.446,726.397,731.0205,12.31126472
36,718.353,736.213,745.24,725.94,731.4365,11.75784914
36.5,720.26,735.81,745.082,725.373,731.63125,11.05826458
37,720.734,735.266,744.898,726.271,731.79225,10.59239848
37.5,720.741,735.689,744.591,726.951,731.993,10.39870646
38,720.181,735.345,744.393,728.262,732.04525,10.30256746
38.5,719.757,734.804,743.995,728.69,731.8115,10.20534927
39,719.172,734.239,744.062,729.08,731.63825,10.37730692
39.5,718.834,733.666,744.118,730.057,731.66875,10.42914792
40,718.704,733.527,744.137,729.891,731.56475,10.4898717
40.5,719.008,733.723,744.012,730.24,731.74575,10.30999458
41,719.91,733.774,743.853,730.969,732.1265,9.845603706
41.5,719.858,734.717,743.786,731.532,732.47325,9.883373425
42,719.527,735.034,743.436,731.871,732.467,9.911395226
42.5,719.399,735.01,743.369,731.57,732.337,9.947027797
43,719.116,734.969,743.092,732.581,732.4395,9.95673643
43.5,718.869,735.049,743.253,733.321,732.623,10.14136901
44,718.431,734.993,743.191,734.123,732.6845,10.34323062
44.5,718.061,736.123,742.914,734.301,732.84975,10.53275125
45,719.159,737.023,742.644,734.085,733.22775,10.02886319
45.5,720.615,737.712,742.368,733.982,733.66925,9.354559223
46,720.961,737.779,742.372,734.057,733.79225,9.205385285
46.5,721.048,737.628,742.346,734.232,733.8135,9.137598134
47,720.482,737.473,742.386,735.458,733.94975,9.43819744
47.5,720.295,737.689,742.193,736.48,734.16425,9.567366108
48,719.922,737.899,741.952,736.591,734.091,9.717797178
48.5,719.769,737.609,741.928,737.683,734.24725,9.86102403
49,719.403,737.591,742.089,738.54,734.40575,10.18745436
49.5,719.184,737.363,743.251,738.871,734.66725,10.61995569
50,719.58,737.469,743.195,738.949,734.79825,10.43171726
50.5,719.092,737.472,743.114,739.047,734.68125,10.66120767
51,718.935,737.582,742.894,738.833,734.561,10.66125681
51.5,719.175,737.791,742.51,738.522,734.4995,10.42469646
52,718.97,737.917,742.291,738.571,734.43725,10.4898961
52.5,719.199,738.125,741.955,738.797,734.519,10.34892935
53,719.16,737.948,741.628,738.388,734.281,10.21334728
53.5,719.064,737.948,741.254,738.723,734.24725,10.2201356
54,718.767,737.781,740.903,738.609,734.015,10.25075022
54.5,718.762,737.634,741.153,738.434,733.99575,10.26690951
55,718.691,737.481,741.41,738.113,733.92375,10.30023389
55.5,718.726,737.436,741.155,737.726,733.76075,10.16446934
56,718.493,737.416,741.117,738.072,733.7745,10.31448136
56.5,719.168,737.018,741.028,738.171,733.84625,9.929619274
57,719.746,736.754,740.929,738.526,733.98875,9.648078267
57.5,720.173,736.957,740.474,738.426,734.0075,9.335089805
58,720.047,736.565,740.304,738.673,733.89725,9.359496937
58.5,719.731,736.383,740.046,738.642,733.7005,9.434449798
59,719.311,736.419,740.214,739.282,733.8065,9.797649939
59.5,719.291,736.242,740.279,740.155,733.99175,9.97815679
60,719.326,736.421,740.808,740.437,734.248,10.14437995
60.5,719.215,736.392,740.471,740.594,734.168,10.15807839
61,719.379,736.617,740.161,741.735,734.473,10.28778499
61.5,720.096,736.644,740.228,742.562,734.8825,10.15369481
62,720.613,736.33,739.97,743.689,735.1505,10.1466528
62.5,721.095,736.299,739.839,744.34,735.39325,10.08413547
63,721.014,736.452,739.769,744.763,735.4995,10.24333977
63.5,720.833,736.677,739.845,744.974,735.58225,10.41016905
64,720.451,736.481,739.761,745.466,735.53975,10.7223399
64.5,720.589,736.447,739.613,745.55,735.54975,10.66370947
65,720.306,736.313,739.364,745.338,735.33025,10.69454822
65.5,720.237,736.372,739.039,745.271,735.22975,10.66808909
66,720.063,736.507,739.177,745.456,735.30075,10.8289501
66.5,720.967,736.656,739.149,745.584,735.589,10.44852458
67,721.541,736.517,739.294,745.519,735.71775,10.17305439
67.5,721.87,736.339,739.396,745.608,735.80325,10.05755866
68,722.233,736.107,739.373,745.634,735.83675,9.893200034
68.5,722.518,735.944,739.408,745.928,735.9495,9.86469981
69,722.346,735.971,739.415,746.078,735.9525,9.994195665
69.5,722.303,736.283,739.248,745.989,735.95575,9.966772977
70,723.524,736.009,739.302,745.704,736.13475,9.321102345
70.5,724.919,735.91,739.111,745.469,736.35225,8.595359654
71,726.264,736.229,738.805,745.183,736.62025,7.863392202
71.5,727.503,736.44,738.947,745.123,737.00325,7.309366246
72,728.364,736.293,739.265,745.165,737.27175,6.990050137
72.5,729.432,736.286,738.971,745.045,737.4335,6.471465496
73,730.263,736.627,738.676,745.009,737.64375,6.077875143
73.5,730.931,736.752,738.658,745.264,737.90125,5.907281347
74,731.628,736.885,738.664,745.426,738.15075,5.696229125
74.5,732.001,737.233,739.172,745.368,738.4435,5.521187342
75,731.845,738.21,739.367,745.124,738.6365,5.444497559
75.5,731.551,739.022,739.153,745.223,738.73725,5.596459379
76,731.193,739.108,739.092,745.403,738.699,5.819661559
76.5,731.348,739.179,739.113,745.418,738.7645,5.760983626
77,732.03,739.158,739.109,745.146,738.86075,5.363876047
77.5,732.699,739.287,739.302,745.113,739.10025,5.072959122
78,734.015,739.172,740.129,745.208,739.631,4.586250102
78.5,734.789,738.978,740.704,745.238,739.92725,4.324738711
79,735.588,739.357,740.597,745.501,740.26075,4.091643547
79.5,735.634,739.699,740.55,745.556,740.35975,4.074576164
80,735.949,740.202,740.655,745.258,740.516,3.806221661
80.5,736.483,740.116,740.536,745.139,740.5685,3.549018315
81,736.968,739.785,740.52,744.992,740.56625,3.32401147
81.5,737.454,739.48,740.476,745.099,740.62725,3.23548671
82,737.133,739.372,740.702,745.143,740.5875,3.375238313
82.5,736.906,739.347,740.793,744.966,740.503,3.380197923
83,736.809,739.336,740.807,745.199,740.53775,3.518878929
