Time,R1,R2,R3,R4,Ave,SD
0.5,365.643,357.311,350.005,333.271,351.5575,13.76360431
1,421.637,418.767,418.618,393.197,413.05475,13.31120832
1.5,440.872,435.305,449.451,456.716,445.586,9.429313902
2,449.623,440.007,455.771,474.371,454.943,14.4858467
2.5,462.381,449.226,456.841,476.638,461.2715,11.57704212
3,466.155,454.807,459.352,477.925,464.55975,10.05669798
3.5,469.439,456.971,463.108,484.142,468.415,11.65499163
4,472.847,460.496,466.007,485.723,471.26825,10.88047748
4.5,473.295,464.372,467.252,485.355,472.5685,9.300003029
5,473.382,465.365,473.902,484.852,474.37525,8.003278635
5.5,494.284,474.852,477.27,485.421,482.95675,8.801613843
6,502.038,479.071,480.001,486.793,486.97575,10.61503623
6.5,501.479,483.4,479.989,486.455,487.83075,9.474386607
7,499.609,484.017,482.424,487.216,488.3165,7.787573713
7.5,498.733,488.869,491.177,493.526,493.07625,4.223316183
8,497.65,489.021,501.129,494.538,495.5845,5.137524209
8.5,496.612,489.128,504.471,495.909,496.53,6.278042423
9,495.328,490.38,505.069,501.86,498.15925,6.582119789
9.5,494.75,489.373,505.606,503.37,498.27475,7.558082092
10,494.978,489.446,505.64,503.761,498.45625,7.594503819
10.5,495.444,488.771,506.942,504.422,498.89475,8.360755842
11,494.821,488.092,508.144,504.517,498.8935,9.136979096
11.5,494.59,487.636,507.524,505.485,498.80875,9.365826014
12,494.412,487.115,509.374,505.392,499.07325,10.17773791
12.5,493.79,486.385,508.785,507.104,499.016,10.76572249
13,494.02,486.921,508.697,508.589,499.55675,10.88490528
13.5,493.622,486.444,508.247,508.962,499.31875,11.11932352
14,494.624,486.674,508.363,509.057,499.6795,10.92461729
14.5,500.384,486.359,514.012,509.652,502.60175,12.22899795
15,499.918,486.261,513.638,509.656,502.36825,12.18695741
15.5,499.772,486.413,517.6,510.11,503.47375,13.51989764
16,499.855,486.392,523.254,509.753,504.8135,15.5819242
16.5,499.747,486.232,526.342,509.832,505.53825,16.90662758
17,499.691,485.803,527.717,511.556,506.19175,17.7958089
17.5,500.854,485.686,526.954,516.644,507.5345,18.0931479
18,507.628,485.688,527.153,519.135,509.901,18.02159961
18.5,515.435,485.092,528.503,521.319,512.58725,19.09321877
19,516.333,484.88,529.332,522.668,513.30325,19.6780749
19.5,516.58,484.803,530.314,523.098,513.69875,20.06388466
20,518.178,484.401,530.001,524.938,514.3795,20.56414557
20.5,519.146,484.486,529.647,525.015,514.5735,20.51341624
21,519.192,484.796,532.395,525.796,515.54475,21.19596747
21.5,518.86,484.678,532.734,525.908,515.545,21.34333935
22,518.951,484.696,532.638,525.948,515.55825,21.32020945
22.5,522.824,486.12,532.69,526.686,517.08,21.03538663
23,525.9,486.66,532.506,526.771,517.95925,21.07093919
23.5,527.385,486.754,532.505,526.845,518.37225,21.23256548
24,527.961,486.572,532.41,527.228,518.54275,21.43646798
24.5,528.16,486.388,532.746,529.124,519.1045,21.90017013
25,528.008,486.439,533.442,529.907,519.449,22.12156108
25.5,528.068,486.674,533.364,530.719,519.70625,22.12738274
26,528.452,486.562,532.962,531.229,519.80125,22.23722125
26.5,528.689,487.139,532.446,531.971,520.06125,22.01163929
27,530.105,487.94,532.826,532.804,520.91875,22.0229192
27.5,530.039,489.552,532.553,533.368,521.378,21.26458654
28,531.74,491.497,532.447,533.335,522.25475,20.51554738
28.5,531.754,491.421,532.788,533.027,522.2475,20.5584241
29,531.515,491.214,538.926,533.033,523.672,21.87347899
29.5,532.67,500.159,541.613,532.89,526.833,18.26388507
30,532.208,499.988,543.336,532.964,527.124,18.78957243
30.5,532.087,499.653,544.391,532.612,527.18575,19.21405207
31,531.783,500.012,545.266,532.795,527.464,19.30109522
31.5,531.818,499.836,545.579,532.61,527.46075,19.46705078
32,531.622,500.468,545.608,532.424,527.5305,19.14733773
32.5,531.176,500.342,546.532,532.243,527.57325,19.45731697
33,530.879,500.287,547.362,532.281,527.70225,19.74131366
33.5,530.608,500.65,547.461,532.179,527.7245,19.58498681
34,530.104,500.293,547.258,532.448,527.52575,19.67960264
34.5,529.657,500.08,547.771,532.263,527.44275,19.91729189
35,529.773,499.894,548.399,532.433,527.62475,20.23444427
35.5,529.485,500.107,548.533,532.428,527.63825,20.17351808
36,529.358,500.515,548.661,532.744,527.8195,20.0542724
36.5,529.301,500.624,549.084,532.632,527.91025,20.14196479
37,529.064,500.601,549.222,532.64,527.88175,20.19640437
37.5,528.775,500.692,549.405,534.418,528.3225,20.37380846
38,528.601,500.542,550.651,536.932,529.1815,21.14684863
38.5,528.468,500.472,551.584,538.531,529.76375,21.70002741
39,528.325,500.294,552.049,539.504,530.043,22.07358211
39.5,529.009,500.07,552.903,540.199,530.54525,22.54007395
40,528.831,499.869,553.612,540.57,530.7205,22.92319557
40.5,528.923,499.674,553.885,540.227,530.67725,23.05122042
41,528.842,499.701,553.85,539.998,530.59775,22.99799737
41.5,529.18,499.58,553.653,539.803,530.554,22.95201047
42,529.102,499.584,553.405,539.457,530.387,22.82227901
42.5,529.112,501.531,553.222,539.22,530.77125,21.8568287
43,528.771,502.12,553.065,539.125,530.77025,21.53827253
43.5,528.689,502.022,553.455,539.02,530.7965,21.70596678
44,528.734,502.228,553.813,538.984,530.93975,21.73419307
44.5,528.638,502.02,554.07,538.831,530.88975,21.90068709
45,528.247,502.391,554.173,539.053,530.966,21.81656866
45.5,528.118,502.646,554.606,539.035,531.10125,21.86335362
46,527.688,502.68,555.603,539,531.24275,22.226588
46.5,527.753,502.73,556.259,538.732,531.3685,22.41274671
47,527.5,502.496,556.901,538.635,531.383,22.75445953
47.5,527.386,502.305,556.994,538.334,531.25475,22.84498503
48,527.161,502.101,557.533,538.147,531.2355,23.12825097
48.5,526.895,501.976,557.717,537.815,531.10075,23.23392141
49,526.834,502.006,558.181,537.627,531.162,23.3853694
49.5,526.855,502.305,558.629,537.73,531.37975,23.44256635
50,526.785,502.452,558.428,537.659,531.331,23.3020296
50.5,526.812,502.681,558.141,537.507,531.28525,23.08068864
51,526.822,502.683,558.095,537.196,531.199,23.03388236
51.5,526.934,503.624,557.974,537.002,531.3835,22.57587298
52,526.782,503.494,557.97,536.831,531.26925,22.62346156
52.5,526.695,503.6,557.667,536.61,531.143,22.4485502
53,526.631,503.584,557.417,536.661,531.07325,22.36521529
53.5,526.536,503.859,557.166,536.496,531.01425,22.14667723
54,526.326,505.023,556.876,536.354,531.14475,21.56231038
54.5,526.11,505.935,556.512,536.226,531.19575,21.05695667
55,525.926,506.57,556.191,536.005,531.173,20.67274507
55.5,525.886,507.378,556.004,536.019,531.32175,20.28240752
56,525.813,507.537,555.786,535.854,531.2475,20.12526956
56.5,525.606,507.948,555.479,535.686,531.17975,19.84557664
57,525.393,508.102,555.135,535.664,531.0735,19.66372604
57.5,525.511,508.251,555,535.694,531.114,19.5416459
58,525.341,508.297,554.933,535.535,531.0265,19.50044782
58.5,525.177,508.489,554.944,535.368,530.9945,19.43404992
59,524.92,508.333,554.668,535.419,530.835,19.41092625
59.5,524.74,508.43,554.64,535.322,530.783,19.37294873
60,524.62,508.799,554.481,535.268,530.792,19.1745398
60.5,524.47,508.739,554.461,535.27,530.735,19.20558549
61,524.347,509.251,554.28,535.212,530.7725,18.94530486
61.5,524.159,509.746,554.125,535.154,530.796,18.71173138
62,524.155,510.23,554.017,535.341,530.93575,18.50096378
62.5,524.112,510.341,553.786,535.393,530.908,18.37303472
63,524.149,510.437,553.679,535.219,530.871,18.2742406
63.5,524.115,510.569,553.403,535.06,530.78675,18.10179635
64,524.159,510.703,553.274,534.973,530.77725,17.98596513
64.5,523.943,510.785,553.199,534.909,530.709,17.94607322
65,524.04,510.838,553.059,534.762,530.67475,17.84448392
65.5,524.148,510.818,552.882,534.738,530.6465,17.76286151
66,524.117,510.831,552.85,534.617,530.60375,17.73923507
66.5,524.169,510.91,552.755,534.736,530.6425,17.67292804
67,524.1,511.31,552.74,534.588,530.6845,17.51579557
67.5,523.981,511.689,552.536,534.575,530.69525,17.30500422
68,524.038,511.847,552.358,534.404,530.66175,17.15226497
68.5,523.912,512.104,552.226,535.223,530.86625,17.08414283
69,523.748,511.928,552.103,535.505,530.821,17.14483555
69.5,524.152,511.784,551.918,535.331,530.79625,17.0519206
70,524.65,511.563,551.776,535.249,530.8095,17.00657211
70.5,524.485,511.471,551.493,535.159,530.652,16.937168
71,524.375,511.465,551.311,535.072,530.55575,16.87044084
71.5,524.4,512.26,551.133,534.934,530.68175,16.48389631
72,524.318,512.089,551.001,534.833,530.56025,16.49478114
72.5,524.215,512.005,550.875,534.745,530.46,16.47948725
73,524.131,513.243,550.773,534.82,530.74175,15.99782659
73.5,523.918,513.139,550.627,535.205,530.72225,16.03914606
74,523.855,513.127,550.583,535.251,530.704,16.03859491
74.5,523.854,513.157,550.361,535.258,530.6575,15.93682972
75,523.832,513.065,550.118,535.436,530.61275,15.89151366
75.5,523.733,513.106,549.961,535.539,530.58475,15.83705398
76,523.562,513.472,549.759,535.67,530.61575,15.65964045
76.5,523.358,513.318,549.692,535.549,530.47925,15.70618594
77,523.38,513.127,549.564,535.592,530.41575,15.72526308
77.5,523.231,513.053,549.467,535.855,530.4015,15.76515646
78,523.181,512.922,549.437,536.064,530.401,15.83332673
78.5,523.183,512.805,549.442,536.062,530.373,15.87789035
79,523.008,512.699,549.301,535.89,530.2245,15.86644011
79.5,522.929,512.614,549.103,535.867,530.12825,15.82774508
80,522.765,512.49,548.968,536.403,530.1565,15.91258191
80.5,523.044,512.416,549.143,536.488,530.27275,15.97742172
81,523.993,512.286,549.123,536.381,530.44575,15.86906175
81.5,524.14,512.204,548.974,536.453,530.44275,15.83147699
