Time,R1,R2,R3,R4,Ave,SD
0.5,583.779,565.029,564.134,556.529,567.36775,11.58640754
1,726.457,718.706,664.305,676.94,696.602,30.60282282
1.5,745.359,750.623,706.625,704.439,726.7615,24.62390997
2,757.525,782.279,722.489,726.097,747.0975,28.24340614
2.5,783.112,792.914,736.775,737.371,762.543,29.68221022
3,801.675,791.897,737.628,742.055,768.31375,33.16765436
3.5,818.964,791.506,734.759,741.35,771.64475,40.46360959
4,824.836,798.894,747.362,745.503,779.14875,39.24127792
4.5,828.472,812.56,767.994,745.446,788.618,38.51723268
5,829.884,812.792,774.855,749.202,791.68325,36.48160827
5.5,829.892,813.476,787.041,748.212,794.65525,35.64080739
6,829.106,815.976,787.377,754.818,796.81925,32.97815632
6.5,828.749,820.609,792.41,761.625,800.84825,30.4335697
7,827.763,822.961,797.481,764.095,803.075,29.18723223
7.5,826.822,823.02,799.396,767.349,804.14675,27.36792867
8,831.419,823.718,799.993,769.219,806.08725,27.98183128
8.5,829.609,836.626,800.014,768.08,808.58225,31.31785057
9,827.34,835.775,806.703,770.938,810.189,28.87671146
9.5,826.56,833.953,806.784,771.068,809.59125,28.12682458
10,824.78,832.814,811.324,770.04,809.7395,27.91182623
10.5,826.199,834.183,822.304,780.687,815.84325,23.95336575
11,828.039,834.414,824.177,787.229,818.46475,21.24732702
11.5,830.156,833.66,823.306,793.651,820.19325,18.20979581
12,830.809,832.991,823.272,796.587,820.91475,16.74443236
12.5,832.235,834.901,823.353,801.54,823.00725,15.13907774
13,833.46,836.157,823.612,804.74,824.49225,14.22923227
13.5,833.752,836.175,822.636,804.976,824.38475,14.21868572
14,835.771,835.578,820.762,804.481,824.148,14.87721876
14.5,836.806,834.727,820.55,804.521,824.151,14.94774121
15,840.889,834.439,820.782,803.528,824.9095,16.53643038
15.5,841.555,834.698,820.404,804.418,825.26875,16.45774653
16,841.757,834.393,819.621,803.593,824.841,16.89297353
16.5,844.964,835.524,818.832,803.027,825.58675,18.51842076
17,846.479,835.508,817.605,802.231,825.45575,19.52816819
17.5,845.794,835.957,816.802,802.282,825.20875,19.45581924
18,845.979,836.226,817.011,804.581,825.94925,18.64847533
18.5,845.93,835.348,816.774,805.894,825.9865,18.01813519
19,846.213,834.395,818.405,805.796,826.20225,17.74601753
19.5,846.239,834.95,817.779,805.045,826.00325,18.22467599
20,845.426,834.851,817.219,804.659,825.53875,18.14205899
20.5,849.566,834.472,816.731,804.365,826.2835,19.83933162
21,856.478,834.411,816.366,804.159,827.8535,22.77245992
21.5,859.347,833.837,815.578,803.186,827.987,24.4045418
22,858.867,833.238,814.524,803.176,827.45125,24.33678545
22.5,858.402,833.945,814.901,803.371,827.65475,24.06463021
23,857.942,838.329,818.427,803.45,829.537,23.72134733
23.5,857.417,837.802,818.731,803.214,829.291,23.48781617
24,856.6,837.325,817.865,803.293,828.77075,23.20699231
24.5,857,837.493,817.687,804.457,829.15925,22.9954519
25,856.965,839.203,817.053,804.561,829.4455,23.27619731
25.5,856.552,844.854,817.463,805.504,831.09325,23.65093108
26,856.035,849.28,821.65,804.888,832.96325,23.90781788
26.5,855.436,849.506,821.392,805.419,832.93825,23.60271245
27,856.011,848.576,821.897,805.128,832.903,23.60935728
27.5,855.54,848.159,821.71,804.987,832.599,23.44778558
28,855.512,848.491,821.979,804.566,832.637,23.63746282
28.5,855.832,849.152,821.77,804.408,832.7905,23.98351608
29,855.031,849.068,821.631,804.528,832.5645,23.68329854
29.5,855.185,849.778,821.418,805.291,832.918,23.63316891
30,856.76,849.641,820.745,805.026,833.043,24.3185991
30.5,857.203,849.613,820.358,804.575,832.93725,24.69522232
31,857.082,849.163,820.318,804.11,832.66825,24.74005042
31.5,856.69,848.444,820.855,803.741,832.4325,24.50874073
32,857.467,848.852,822.812,804.154,833.32125,24.39531544
32.5,857.083,850.203,822.963,803.351,833.4,24.86697052
33,857.206,849.983,822.881,803.081,833.28775,24.97707113
33.5,857.405,849.558,821.906,802.989,832.9645,25.12305253
34,857.347,848.917,821.502,802.587,832.58825,25.18335243
34.5,857.974,848.487,823.269,802.401,833.03275,25.129894
35,858.594,847.683,825.134,802.389,833.45,24.9582358
35.5,859.697,847.141,825.005,802.425,833.567,25.23332706
36,859.173,846.834,825.097,802.51,833.4035,24.95229946
36.5,858.653,847.13,824.523,802.021,833.08175,25.09491679
37,858.74,847.291,824.048,801.996,833.01875,25.22013214
37.5,858.785,850.42,823.583,801.96,833.687,25.93964943
38,858.512,850.093,823.46,801.363,833.357,26.04121327
38.5,858.231,849.601,823.958,800.959,833.18725,25.95149165
39,858.062,848.768,823.983,800.735,832.887,25.81355655
39.5,857.815,848.054,824.338,801.755,832.9905,25.12427146
40,859.445,847.415,824.977,801.906,833.43575,25.41375023
40.5,861.589,847.522,825.122,801.958,834.04775,26.1374376
41,861.907,847.421,824.511,802.291,834.0325,26.1688203
41.5,861.778,847.902,824.484,802.404,834.142,26.16399373
42,861.522,847.463,824.399,802.43,833.9535,25.99710436
42.5,861.223,847.142,825.925,804.19,834.62,24.94064967
43,860.757,849.28,826.023,805.865,835.48125,24.46664258
43.5,861.447,852.38,826.119,807.337,836.82075,24.71410809
44,860.905,853.818,826.122,808.65,837.37375,24.32960321
44.5,860.522,854.826,826.553,808.506,837.60175,24.43119722
45,860.269,854.704,826.895,808.529,837.59925,24.26348725
45.5,860.266,854.356,826.797,808.391,837.4525,24.25073578
46,860.053,853.972,826.643,807.976,837.161,24.28336834
46.5,859.654,853.584,827.33,807.622,837.0475,24.11638123
47,859.452,853.447,827.77,811.18,837.96225,22.5296672
47.5,859.345,853.025,827.55,812.888,838.202,21.76397235
48,860.729,852.597,827.915,812.761,838.5005,22.11630014
48.5,861.778,852.792,828.392,812.299,838.81525,22.61557784
49,861.2,852.441,828.344,812.28,838.56625,22.36259273
49.5,861.688,852.383,828.076,811.799,838.4865,22.74513487
50,862.575,852.01,827.655,811.513,838.43825,23.15183698
50.5,862.792,851.809,827.371,812.899,838.71775,22.70320775
51,862.675,853.208,827.427,814.989,839.57475,22.14733986
51.5,862.804,854.532,827.39,816.903,840.40725,21.77935979
52,862.291,855.102,827.359,816.435,840.29675,21.9067033
52.5,861.95,854.801,827.18,816.388,840.07975,21.77709504
53,861.523,854.494,826.952,816.412,839.84525,21.60141834
53.5,862.749,854.179,826.691,816.186,839.95125,22.08157311
54,863.846,853.746,826.622,816.174,840.097,22.39193126
54.5,864.355,853.571,826.246,815.727,839.97475,22.77196054
55,863.969,853.23,826.043,815.569,839.70275,22.66321572
55.5,863.9,852.865,825.627,815.664,839.514,22.617084
56,863.469,852.438,825.288,815.586,839.19525,22.47512443
56.5,863.332,852.183,825.134,815.389,839.0095,22.47652575
57,863.925,853.055,824.7,815.636,839.329,22.86724136
57.5,864.301,852.951,824.563,815.502,839.32925,23.05732243
58,864.676,852.748,824.101,815.522,839.26175,23.24641272
58.5,865.469,852.299,823.705,815.868,839.33525,23.42397803
59,865.844,851.872,823.423,815.83,839.24225,23.56229904
59.5,865.571,852.238,823.451,815.658,839.2295,23.57733636
60,865.62,851.778,823.283,815.628,839.07725,23.55951532
60.5,865.263,852.103,822.869,815.623,838.9645,23.58051475
61,865.023,852.225,822.695,816.478,839.10525,23.27478144
61.5,864.595,851.988,822.716,816.431,838.9325,23.08175586
62,864.446,851.518,822.585,819.005,839.3885,22.1573747
62.5,864.148,851.908,822.275,818.717,839.262,22.28519319
63,863.986,851.43,821.946,818.895,839.06425,22.16482592
63.5,863.908,851.301,821.849,818.783,838.96025,22.17055581
64,863.804,851.036,821.616,818.976,838.858,22.08458805
64.5,863.441,850.472,821.65,818.895,838.6145,21.86022529
65,863.184,850.105,822.875,818.955,838.77975,21.3682825
65.5,863.456,849.65,823.164,819.343,838.90325,21.20265344
66,863.464,849.429,823.26,820.294,839.11175,20.85556217
66.5,863.298,849.207,823.022,820.643,839.0425,20.71106275
67,863.108,848.84,823.146,821.422,839.129,20.31657862
67.5,862.803,848.588,822.852,824.878,839.78025,19.28960152
68,862.473,848.448,822.44,824.927,839.572,19.24595738
68.5,862.146,848.291,822.366,825.684,839.62175,18.92546359
