Time,R1,R2,R3,R4,Ave,SD
0.5,489.261,469.029,552.234,478.035,497.13975,37.65039541
1,612.994,605.175,639.186,619.067,619.1055,14.54461212
1.5,689.016,647.083,697.031,655.425,672.13875,24.5737375
2,700.402,702.473,738.88,667.25,702.25125,29.27013112
2.5,709.793,728.183,741.766,667.282,711.756,32.41520463
3,713.024,734.832,846.317,670.589,741.1905,74.98874371
3.5,710.469,733.857,881.107,671.604,749.25925,91.57161102
4,726.8 J,735.187,895.407,704.66,778.418,102.458743
4.5,742.014,741.926,902.027,717.448,775.85375,84.90610804
5,751.803,742.054,910.9 J,717.488,737.115,17.68262133
5.5,748.882,763.302,917.767,717.466,786.85425,89.34852657
6,750.591,776.036,917.46,718.984,790.76775,87.62615415
6.5,776.353,782.411,917.921,718.656,798.83525,84.43012009
7,785.178,797.455,916.654,716.264,803.88775,83.23777932
7.5,797.304,802.445,915.469,717.023,808.06025,81.59176513
8,798.78,811.156,914.335,716.03,810.07525,81.3292797
8.5,797.4 J,816.098,916.152,717.236,816.4953333,99.45859525
9,795.699,817.869,921.141,717.864,813.14325,83.80191735
9.5,796.475,819.432,921.533,719.692,814.283,83.25394254
10,797.761,820.681,920.899,743.028,820.59225,74.3839831
10.5,796.367,821.625,919.977,806.69,836.16475,56.82874675
11,796.028,823.257,918.494,836.678,843.61425,52.70660092
11.5,799.418,825.997,918.924,864.546,852.22125,51.88786248
12,797.361,826.739,918.134,875.226,854.365,53.27387907
12.5,797.104,826.147,919.675,887.52,857.6115,55.96894592
13,799.049,825.217,920.574,897.949,860.69725,57.82811582
13.5,797.661,825.823,920.782,903.025,861.82275,59.40407037
14,796.943,826.687,922.024,906.53,863.046,60.72024986
14.5,796.004,825.068,921.38,908.768,862.805,61.72542092
15,795.362,824.924,920.843,911.18,863.07725,62.42804391
15.5,794.881,824.66,920.693,912.201,863.10875,62.87375474
16,797.062,825.196,919.804,919.594,865.414,63.72657198
16.5,798.08,825.836,919.135,926.328,867.34475,65.01752506
17,802.754,826.297,919.481,926.033,868.64125,63.27890214
17.5,805.022,825.413,919.416,927.48,869.33275,63.12488051
18,807.341,824.583,918.921,927.644,869.62225,62.46166389
18.5,807.7 J,824.124,917.396,927.08,889.5333333,56.85270996
19,808.265,825.584,916.193,927.47,869.378,61.15291733
19.5,809.243,828.029,915.082,928.399,870.18825,60.26515318
20,810.311,829.503,913.821,927.571,870.3015,58.98338807
20.5,811.884,829.906,912.527,927.148,870.36625,57.90481088
21,811.87,830.189,911.338,928.933,870.5825,58.1509075
21.5,811.511,829.719,910.329,929.381,870.235,58.29760597
22,810.92,829.68,909.127,929.914,869.91025,58.41439921
22.5,810.292,829.666,908.005,935.567,870.8825,60.36603104
23,809.641,829.483,907.296,938.512,871.233,61.54575743
23.5,808.93,828.81,907.1 J,938.98,858.9066667,70.05431916
24,807.952,827.528,906.102,940.123,870.42625,62.91181093
24.5,807.734,826.9 J,906.355,940.774,884.9543333,69.0536154
25,806.997,827.323,905.576,942.564,870.615,64.08426044
25.5,806.006,828.169,906.603,943.177,870.98875,64.64210967
26,805.986,828.828,906.381,943.418,871.15325,64.55330026
26.5,806.444,829.366,905.848,943.046,871.176,64.04621354
27,806.728,830.344,905.051,943.556,871.41975,63.78855513
27.5,806.634,830.54,906.058,945.302,872.1335,64.61347856
28,806.945,830.706,908.021,945.235,872.72675,64.79740855
28.5,807.566,831.211,907.041,945.291,872.77725,64.32342437
